consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
"permited [permitted] to doe [do] farther [further] wth [with] us, I doe [do] not yeat [yet] know, though this I know",11,-0.0020000000000095497,2,false,"","",true,1,1,2,70.18323305385425,1121.6257020842593,394.38442211186714,392.12001789653584
"the rage of som [some] of them is very great, and are bent to doe [do] wickedly they",12,-0.0020000000000095497,2,false,"","",true,1,1,2,61.88035713129287,1128.4189751965998,427.5958250248683,438.16308500731213
"[deletion]the[/deletion] talke [talk] to us of ye [the] ooth [oath], but if they Can finde [find] our horsses [horses], I supose [suppose]",13,-0.0020000000000095497,2,false,"","",true,1,1,2,64.89960306263234,1131.4381808170415,461.56200918753115,465.33604644625666
"they will take them, and send us out of town, but, if not, I Cannot tell",14,-0.0020000000000095497,2,false,"","",true,1,1,2,64.14480165752192,1131.4381808170415,497.792637876423,507.60505614285864
(neyther [neither] doe [do] I believe are they yeat [yet] resolved) what they will doe [do] I [...] us but,15,-0.0020000000000095497,1.8,false,"","",true,1,1,2,52.822699959069894,1114.832348350123,542.3260820215296,535.5328693755357
"however Much is stiring [stirring] in ye [the] minds of most people, agaynst [against] theyr [their] soe [so] Cruell [cruel]",16,-0.0020000000000095497,2,false,"","",true,1,1,2,61.33345332122826,1129.522698500437,570.9403255560792,578.6807960155206
and Inhuman dealing wth [with] us to put us soe [so] Clouse [close] in such A Could [cold] smokey [smoky],17,-0.0020000000000095497,2,false,"","",true,1,1,2,67.66656551531668,1113.3377590132384,603.3096596108564,620.1980339564191
"place, at such A season of ye [the] yeare [year], for they will not Alow [allow] us to be in A",18,-0.0020000000000095497,2,false,"","",true,1,1,2,67.66656551531668,1117.5598713899608,645.5305766844314,649.7526890611537
room wher [where] A Chimny [chimney] is though it be not otherways [otherwise] made us [use] of; but Lyes [lies],19,-0.0020000000000095497,2,false,"","",true,1,1,2,77.51811095345099,1122.4856441090278,677.1962503968637,684.2330980946238
"voyde [void] over our heads, ~ I heard yt [that] one of ye [the] Maiestrats [magistrates] of ye [the] town did",20,-0.0020000000000095497,2,false,"","",true,1,1,2,80.33286506482037,1125.3004358010608,714.491432332035,713.7877344090268
profer [proffer] ye [the] mayor to be bound body for body for us yt [that] wee [we] might be at,21,-0.0020000000000095497,2,false,"","",true,1,1,2,83.14756280519461,1110.5231176438592,746.8607851771438,756.7123306152781
"som [some] Chamber in the town, fitt [fit] for men, but it would not be accepted",22,-0.0020000000000095497,2,false,"","",true,1,1,2,89.48073137027822,1128.11507717044,781.3411566299505,789.7853250124001
"but wee [we] are Content, and [deletion][/deletion] well over it; I had Intentions and desires to have",23,-0.0020000000000095497,2,false,"","",true,1,1,2,88.07333552426181,1130.9298688624726,825.6731111015549,825.6731111015549
"seen thee [you], after short time, had I not ben [been] on this wiss [wise] hindered, but I Cannot",24,-0.0020000000000095497,3,false,"","",false,1,1,3,89.48073137027822,1114.7453803432354,858.0425015273272,852.4130496755836
"tell now how longe [long] it may be; Nevertheless, if thou [you] write Anything to",25,-0.0020000000000095497,2,false,"","",true,1,1,2,92.99910824332895,1121.782134089337,888.3008357647384,890.4118731627678
"mee [me], and Convey it to Margery Chipsham for mee [me], shee [she] will be Carfull [careful]",26,-0.0020000000000095497,2,false,"","",true,1,1,2,95.81386235469833,1136.5594522465383,921.3738865328555,928.4107154402839
"to send it [deletion]and[/deletion] to mee [me], And Indeed I should [deletion][/deletion] be glad to heare [hear] from thee [you] And",27,-0.0020000000000095497,2,false,"","",true,1,1,2,94.40650408934536,1129.522698500437,957.2616538316786,964.2984639487752
I desire thee [you] to salut [salute] mee [me] kindly in the Lord to :M:ff: [Margaret Fox] and ye [the] rest of thy [your] felow [fellow],28,-0.0020000000000095497,2,false,"","",true,1,1,2,87.36965639158532,1125.3004358010608,986.1125922230733,996.6678355842159
"prisoners : and in ye [the] lord, and peace of god I remayne [remain],",29,-0.0020000000000095497,2,false,"","",true,1,1,2,90.1844105029547,847.3460321836119,1015.6672285374763,1046.6292606978957
Lovdy Hambly [Loveday Hambly] and her sisters wth [with] Tho: Lower [Thomas Lower],30,-0.0020000000000095497,1.9090909090909092,true,"",Lukas_Kaiser,true,1,1,2,41.630362444959644,601.7610565725989,1080.4059718083577,1092.3685546445213
and his mother desired mee [me] to [deletion]salut thee[/deletion],31,-0.0020000000000095497,2,false,"","",true,1,1,2,45.148776898673816,614.427468864093,1116.293720316849,1128.2563219433443
give ye [the] salutation of theyr [their] love unto thee [you],32,-0.0020000000000095497,2,false,"","",true,1,1,2,43.7413810526574,643.2782945134974,1147.9594128196131,1157.1072979154026
alsoe [also] Ben: Lawrens [Benjamin Lawrence] saluts [salutes] thee [you] dearly,33,-0.0020000000000095497,2,false,"","",true,1,1,2,45.8524560313503,632.0195035520004,1185.2545008031257,1193.698687975907
thine [yours] to serve thee [you],34,-0.0020000000000095497,2,false,"","",true,1,2,2,685.4993431193944,1042.9696954229355,1086.0354612407646,1076.8875385643116
Josiah Coale [Josiah Cole],35,-0.0020000000000095497,2.3333333333333335,true,"",Lukas_Kaiser,true,1,2,3,760.0893687637657,995.1192137556266,1155.699902069386,1147.9594128196131
Josiah Coale [Josiah Cole],36,-0.0020000000000095497,2,true,"",Lukas_Kaiser,true,1,2,2,974.7124625370132,1126.0040961434056,1213.401816432839,1197.9207627719659
