consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
frinds [friends] & other 2 [deletion]or[/deletion] 3. Shee [She] hath Leavien[deletion]ed Leavined with her deceit [/deletion] it &c) this day came a Letter out of,14,-1.4669999999999845,3.4347826086956523,true,"",Lukas_Kaiser,false,1,1,4,53.48481276856967,1095.2759484346225,471.6940331491712,458.24578268876604
Germany from :W: Ames [William Ames?]. hee [he] writtes [writes] that frinds [friends] are in a good Condition there & [and] have a good,15,-1.4669999999999845,3.4545454545454546,true,"",Lukas_Kaiser,false,1,1,4,55.27791282995702,1105.1379987722528,499.4870841006752,486.9353836709637
 authoritie [authority] in the truth & [and] that hee [he] & [and] John Higgins where [...ere] with the prince of the contirie [country] who,16,-1.4669999999999845,3.260869565217391,true,"",Lukas_Kaiser,false,1,1,4,58.864112952731716,1113.206949048496,529.0732351135665,517.4180847145487
semed [seemed] to be very friendly to them & [and] touke [took] it kindly that they came to see him & [and] [deletion]giveth[/deletion] give,17,-1.4669999999999845,3.5217391304347827,true,"",Lukas_Kaiser,false,1,1,4,49.002062615101295,1111.4138489871086,559.5559361571516,548.7973357888275
"him Such a present, to witt [wit] Severall [several] books of frinds [friends], printed in the dutch tounge [tongue] & [and] bound up",18,-1.4669999999999845,3.347826086956522,true,"",Lukas_Kaiser,false,1,1,4,57.96756292203804,1113.206949048496,587.3489871086556,583.7627869858809
"to gether [together], & [and] that hee [he] (william) is about Cominge [coming] a way & [and] Leaveinge [leaving] John Higgins there for",19,-1.4669999999999845,3.217391304347826,true,"",Lukas_Kaiser,false,1,1,4,57.07101289134437,1104.2414487415592,615.1420380601595,624.1075383670963
"a tyme [time] amongest [amongst] frinds. [friends] william Caton is at or aboute [about] Retterdam [Rotterdam], he writte [wrote] that things are well",20,-1.4669999999999845,3.217391304347826,true,"",Lukas_Kaiser,false,1,1,4,55.27791282995702,1097.9655985267034,644.7281890730509,659.0729895641497
"there, hee [he] hath [has] beine [been] gone from this Citty [city] aboute [about] a weeke [week], & [and] aboute [about] that time he went I came",21,-1.4669999999999845,3.111111111111111,true,"",Lukas_Kaiser,false,1,1,4,49.002062615101295,1097.0690484960098,682.3832903621853,688.6591405770411
"from retterdam [Rotterdam] & [and] other places that way where I was 2 or 3 weekes [weeks], much more I have not to",22,-1.4669999999999845,3.6818181818181817,true,"",Lukas_Kaiser,false,1,1,4,48.10551258440759,1071.0690976058931,711.9694413750767,726.3142418661755
write [write] onely [only] I thinke [think] Shippinge [shipping] will very Shortly be ready to goe [go] from this Citty [city] for America,23,-1.4669999999999845,3.1739130434782608,false,"","",false,1,1,4,49.89861264579497,1106.0345488029466,741.5555923879681,755.9003928790669
"with which I hope to goe [go], and I should be glad to heare [hear] from thee [you] before [before] I goe [go] if I Could",24,-1.4669999999999845,3.3846153846153846,true,"",Lukas_Kaiser,false,1,1,4,53.48481276856967,1015.4829957028851,776.5210435850215,782.7968937998771
neare [near] Amsterdame [Amsterdam] ye [the],25,-1.4669999999999845,3,false,"","",false,1,1,5,52.58826273787599,281.2085205647636,813.2795948434621,808.7968446899937
23:4:m: [June 23] /1659/,26,-1.4669999999999845,3,true,"",Lukas_Kaiser,false,1,1,3,43.62276243093922,268.65682013505216,841.9691958256598,849.1415960712092
Thyn [thine/yours] in my measuer [measure] Geo: Rofe [George Rofe],27,-1.4669999999999845,3.4,false,"","",false,1,1,5,738.4490362185389,1093.4828483732351,825.8312952731735,822.2450951503988
